file_name,iteration,target_type,system_cpu,system_gpu,system_os,system_ram,cpu_cores,cpu_threads,electron,node_version,npm_version,build_commands_used,delete_dist,delete_node_modules,npm_install,npm_install_start_ms,npm_install_end_ms,npm_install_duration_ms,npm_install_duration_s,build_start_ms,build_end_ms,build_duration_ms,build_duration_s,exe_size_bytes,msi_size_bytes
07-dist_unpacked-build.json,1,dist_unpacked,AMD Ryzen 7 5800X3D 8-Core Processor,NVIDIA GeForce RTX 4070,Windows 11 (10.0.22621),32 GB,8,16,36.2.1,v20.9.0,10.1.0,npm install; npm run build:unpack,True,True,True,1748168780398,1748168795827,15429,15.43,1748168795827,1748168803854,8027,8.03,202056192,0
07-dist_unpacked-build.json,2,dist_unpacked,AMD Ryzen 7 5800X3D 8-Core Processor,NVIDIA GeForce RTX 4070,Windows 11 (10.0.22621),32 GB,8,16,36.2.1,v20.9.0,10.1.0,npm install; npm run build:unpack,True,True,True,1748168807063,1748168822722,15659,15.66,1748168822722,1748168842124,19402,19.4,202056192,0
07-dist_unpacked-build.json,3,dist_unpacked,AMD Ryzen 7 5800X3D 8-Core Processor,NVIDIA GeForce RTX 4070,Windows 11 (10.0.22621),32 GB,8,16,36.2.1,v20.9.0,10.1.0,npm install; npm run build:unpack,True,True,True,1748168847579,1748168866865,19286,19.29,1748168866865,1748168875124,8259,8.26,202056192,0
07-dist_unpacked-build.json,4,dist_unpacked,AMD Ryzen 7 5800X3D 8-Core Processor,NVIDIA GeForce RTX 4070,Windows 11 (10.0.22621),32 GB,8,16,36.2.1,v20.9.0,10.1.0,npm install; npm run build:unpack,True,True,True,1748168880434,1748168891122,10688,10.69,1748168891122,1748168899143,8021,8.02,202056192,0
07-dist_unpacked-build.json,5,dist_unpacked,AMD Ryzen 7 5800X3D 8-Core Processor,NVIDIA GeForce RTX 4070,Windows 11 (10.0.22621),32 GB,8,16,36.2.1,v20.9.0,10.1.0,npm install; npm run build:unpack,True,True,True,1748168903966,1748168915887,11921,11.92,1748168915888,1748168923966,8078,8.08,202056192,0
AVERAGES,,,,,,,,,,,,,,,,,,14596.6,14.6,,,10357.4,10.36,202056192.0,
,,,,,,,,,,,,,,,,,,,,,,,,,
08-dist_unpacked-build.json,1,dist_unpacked,AMD Ryzen 7 5800X3D 8-Core Processor,NVIDIA GeForce RTX 4070,Windows 11 (10.0.22621),32 GB,8,16,36.2.1,v20.9.0,10.1.0,npm install; npm run build:unpack,True,False,True,1748168930106,1748168957225,27119,27.12,1748168957227,1748168976972,19745,19.75,202056192,0
08-dist_unpacked-build.json,2,dist_unpacked,AMD Ryzen 7 5800X3D 8-Core Processor,NVIDIA GeForce RTX 4070,Windows 11 (10.0.22621),32 GB,8,16,36.2.1,v20.9.0,10.1.0,npm install; npm run build:unpack,True,False,True,1748168977137,1748168981819,4682,4.68,1748168981819,1748168989787,7968,7.97,202056192,0
08-dist_unpacked-build.json,3,dist_unpacked,AMD Ryzen 7 5800X3D 8-Core Processor,NVIDIA GeForce RTX 4070,Windows 11 (10.0.22621),32 GB,8,16,36.2.1,v20.9.0,10.1.0,npm install; npm run build:unpack,True,False,True,1748168989841,1748168993737,3896,3.9,1748168993737,1748169001986,8249,8.25,202056192,0
08-dist_unpacked-build.json,4,dist_unpacked,AMD Ryzen 7 5800X3D 8-Core Processor,NVIDIA GeForce RTX 4070,Windows 11 (10.0.22621),32 GB,8,16,36.2.1,v20.9.0,10.1.0,npm install; npm run build:unpack,True,False,True,1748169002025,1748169005144,3119,3.12,1748169005144,1748169013193,8049,8.05,202056192,0
08-dist_unpacked-build.json,5,dist_unpacked,AMD Ryzen 7 5800X3D 8-Core Processor,NVIDIA GeForce RTX 4070,Windows 11 (10.0.22621),32 GB,8,16,36.2.1,v20.9.0,10.1.0,npm install; npm run build:unpack,True,False,True,1748169013233,1748169016289,3056,3.06,1748169016289,1748169025089,8800,8.8,202056192,0
AVERAGES,,,,,,,,,,,,,,,,,,8374.4,8.37,,,10562.2,10.56,202056192.0,
,,,,,,,,,,,,,,,,,,,,,,,,,
09-dist_unpacked-build.json,1,dist_unpacked,AMD Ryzen 7 5800X3D 8-Core Processor,NVIDIA GeForce RTX 4070,Windows 11 (10.0.22621),32 GB,8,16,36.2.1,v20.9.0,10.1.0,npm install; npm run build:unpack,True,False,False,1748169029088,1748169040088,11000,11.0,1748169040088,1748169049973,9885,9.88,202056192,0
09-dist_unpacked-build.json,2,dist_unpacked,AMD Ryzen 7 5800X3D 8-Core Processor,NVIDIA GeForce RTX 4070,Windows 11 (10.0.22621),32 GB,8,16,36.2.1,v20.9.0,10.1.0,npm run build:unpack,True,False,False,,,,,1748169050013,1748169065358,15345,15.35,202056192,0
